bit_1,bit_no_repetition_1,hamming_distance,levensthein
0.6460377358490565,0.6460377358490565,0,0
0.6304776944334781,0.6304776944334781,0,0
0.6796230859835101,0.6796230859835101,0,0
0.6573170731707317,0.6583876221498371,1057,4
0.6555005709935288,0.6555005709935288,0,0
0.6197292069632495,0.6199690402476781,656,1
0.6688386354925259,0.6690950920245399,563,1
0.652455272173582,0.6527037319116527,1085,1
0.6460386283011431,0.6465483234714003,330,2
0.649436455499417,0.6499416569428238,1022,2
